date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,outcome,winner_entry
2020-11-15,Tour Finals,F,3,H,true,99,SF,Daniil Medvedev,4,Russian Federation,RUS,4,17,2213,Rafael Nadal,2,Spain,ESP,2,-17,2392,3-6 7-6(4) 6-3,,,
2020-11-15,Tour Finals,F,3,H,true,99,RR,Dominic Thiem,3,Austria,AUT,3,16,2235,Rafael Nadal,2,Spain,ESP,2,-16,2408,7-6(7) 7-6(4),,,
2020-11-15,Tour Finals,F,3,H,true,99,RR,Rafael Nadal,2,Spain,ESP,2,5,2403,Andrey Rublev,7,Russian Federation,RUS,8,-5,2187,6-3 6-4,,,
2020-11-15,Tour Finals,F,3,H,true,99,RR,Rafael Nadal,2,Spain,ESP,2,4,2399,Stefanos Tsitsipas,6,Greece,GRE,6,-5,2153,6-4 4-6 6-2,,,
2020-11-02,Paris Masters,M,3,H,true,81,SF,Alexander Zverev,4,Germany,GER,7,18,2183,Rafael Nadal,1,Spain,ESP,2,-18,2417,6-4 7-5,,,
2020-11-02,Paris Masters,M,3,H,true,81,QF,Rafael Nadal,1,Spain,ESP,2,3,2414,Pablo Carreno Busta,9,Spain,ESP,15,-3,2077,4-6 7-5 6-1,,,
2020-11-02,Paris Masters,M,3,H,true,81,R16,Rafael Nadal,1,Spain,ESP,2,1,2413,Jordan Thompson,,Australia,AUS,61,-1,1884,6-1 7-6(3),,,
2020-11-02,Paris Masters,M,3,H,true,81,R32,Rafael Nadal,1,Spain,ESP,2,1,2412,Feliciano Lopez,,Spain,ESP,64,-2,1900,4-6 7-6(5) 6-4,,,
2020-09-27,Roland Garros,G,5,C,false,32,F,Rafael Nadal,2,Spain,ESP,2,18,2394,Novak Djokovic,1,Serbia,SRB,1,-18,2442,6-0 6-2 7-5,,,
2020-09-27,Roland Garros,G,5,C,false,32,SF,Rafael Nadal,2,Spain,ESP,2,5,2389,Diego Sebastian Schwartzman,12,Argentina,ARG,13,-5,2096,6-3 6-3 7-6(0),,,
2020-09-27,Roland Garros,G,5,C,false,32,QF,Rafael Nadal,2,Spain,ESP,2,1,2388,Jannik Sinner,,Italy,ITA,74,-3,1919,7-6(4) 6-4 6-1,,,
2020-09-27,Roland Garros,G,5,C,false,32,R16,Rafael Nadal,2,Spain,ESP,2,1,2387,Sebastian Korda,,United States,USA,212,-1,1771,6-1 6-1 6-2,Q,,
2020-09-27,Roland Garros,G,5,C,false,32,R32,Rafael Nadal,2,Spain,ESP,2,1,2386,Stefano Travaglia,,Italy,ITA,73,-1,1834,6-1 6-4 6-0,,,
2020-09-27,Roland Garros,G,5,C,false,32,R64,Rafael Nadal,2,Spain,ESP,2,1,2385,Mackenzie Mcdonald,,United States,USA,236,-1,1798,6-1 6-0 6-3,PR,,
2020-09-27,Roland Garros,G,5,C,false,32,R128,Rafael Nadal,2,Spain,ESP,2,1,2384,Egor Gerasimov,,Belarus,BLR,83,-2,1926,6-4 6-4 6-2,,,
2020-09-14,Rome Masters,M,3,C,false,46,QF,Diego Sebastian Schwartzman,8,Argentina,ARG,15,20,2022,Rafael Nadal,2,Spain,ESP,2,-18,2402,6-2 7-5,,,
2020-09-14,Rome Masters,M,3,C,false,46,R16,Rafael Nadal,2,Spain,ESP,2,1,2401,Dusan Lajovic,,Serbia,SRB,25,-1,1889,6-1 6-3,,,
2020-09-14,Rome Masters,M,3,C,false,46,R32,Rafael Nadal,2,Spain,ESP,2,2,2399,Pablo Carreno Busta,,Spain,ESP,18,-2,2044,6-1 6-1,,,
2020-02-24,Acapulco,A,3,H,false,61,F,Rafael Nadal,1,Spain,ESP,2,1,2398,Taylor Harry Fritz,,United States,USA,35,-2,1973,6-3 6-2,,,
2020-02-24,Acapulco,A,3,H,false,61,SF,Rafael Nadal,1,Spain,ESP,2,3,2395,Grigor Dimitrov,7,Bulgaria,BUL,22,-2,2037,6-3 6-2,,,
2020-02-24,Acapulco,A,3,H,false,61,QF,Rafael Nadal,1,Spain,ESP,2,,2395,Soon Woo Kwon,,"Korea, Republic of",KOR,76,-1,1842,6-2 6-1,,,
2020-02-24,Acapulco,A,3,H,false,61,R16,Rafael Nadal,1,Spain,ESP,2,1,2394,Miomir Kecmanovic,,Serbia,SRB,50,-1,1915,6-2 7-5,,,
2020-02-24,Acapulco,A,3,H,false,61,R32,Rafael Nadal,1,Spain,ESP,2,1,2393,Pablo Andujar,,Spain,ESP,54,-1,1812,6-3 6-2,,,
2020-01-20,Australian Open,G,5,H,false,71,QF,Dominic Thiem,5,Austria,AUT,5,21,2207,Rafael Nadal,1,Spain,ESP,1,-21,2414,7-6(3) 7-6(4) 4-6 7-6(6),,,
2020-01-20,Australian Open,G,5,H,false,71,R16,Rafael Nadal,1,Spain,ESP,1,4,2410,Nick Kyrgios,23,Australia,AUS,26,-4,2105,6-3 3-6 7-6(6) 7-6(4),,,
2020-01-20,Australian Open,G,5,H,false,71,R32,Rafael Nadal,1,Spain,ESP,1,2,2408,Pablo Carreno Busta,27,Spain,ESP,30,-3,2014,6-1 6-2 6-4,,,
2020-01-20,Australian Open,G,5,H,false,71,R64,Rafael Nadal,1,Spain,ESP,1,1,2407,Federico Delbonis,,Argentina,ARG,76,-1,1818,6-3 7-6(4) 6-1,,,
2020-01-20,Australian Open,G,5,H,false,71,R128,Rafael Nadal,1,Spain,ESP,1,1,2406,Hugo Dellien,,"Bolivia, Plurinational State of",BOL,73,-1,1763,6-2 6-3 6-0,,,
2020-01-03,ATP Cup,T,3,H,false,65,F,Novak Djokovic,,Serbia,SRB,2,11,2379,Rafael Nadal,,Spain,ESP,1,-12,2418,6-2 7-6(4),,,
2020-01-03,ATP Cup,T,3,H,false,65,SF,Rafael Nadal,,Spain,ESP,1,2,2416,Alex De Minaur,,Australia,AUS,18,-2,2057,4-6 7-5 6-1,,,
